Timestamp,Elapsed_s,CPU%,Java_MB,Native_MB,Code_MB,Stack_MB,Graphics_MB,PrivateOther_MB,System_MB,TotalPSS_MB
20:17:34,0.0,0.0,5.7,19.5,1.0,0.7,26.2,4.5,30.3,87.9
20:17:36,1.9,0.0,8.1,19.6,1.4,0.7,26.2,9.7,30.4,96.1
20:17:38,3.6,0.0,8.1,19.6,1.4,0.7,26.2,9.7,30.4,96.1
20:17:39,5.2,0.0,8.4,19.8,1.8,0.8,26.2,9.8,30.1,96.8
20:17:41,7.0,0.0,8.5,19.8,2.0,0.8,25.7,9.8,30.2,96.8
20:17:43,8.7,0.0,9.4,20.9,3.0,0.9,27.9,11.1,28.7,102.0
20:17:44,10.4,0.0,9.0,21.0,3.0,0.9,28.3,11.1,28.7,102.1
20:17:46,12.0,0.0,9.1,21.1,3.0,1.0,26.8,11.3,28.5,100.7
20:17:48,13.8,0.0,13.5,21.5,5.1,0.9,27.0,13.2,27.9,109.1
20:17:50,15.6,0.0,13.4,17.1,17.5,1.2,36.9,13.3,33.2,132.6
20:17:51,17.4,0.0,14.8,16.1,10.8,1.2,36.6,15.6,33.5,128.5
20:17:53,19.2,0.0,14.9,22.8,11.9,1.2,40.9,15.8,33.4,141.0
20:17:55,20.9,0.0,13.9,21.4,12.0,1.2,31.2,15.7,33.9,129.3
20:17:57,22.6,0.0,13.1,20.3,12.2,1.2,28.0,15.7,33.9,124.5
20:17:58,24.3,0.0,13.4,20.4,12.6,1.2,30.6,16.0,34.0,128.1
20:18:00,26.1,0.0,13.2,20.1,13.2,1.2,30.0,16.1,34.0,127.9
20:18:02,27.8,0.0,13.2,20.6,13.2,1.3,91.9,16.2,33.9,190.2
20:18:04,29.7,0.0,13.4,20.8,10.0,1.2,28.1,16.0,33.3,123.0
20:18:05,31.5,0.0,13.1,20.3,10.0,1.2,28.0,16.0,33.3,121.9
20:18:07,33.2,0.0,12.9,20.4,10.0,1.2,28.0,16.0,33.3,121.8
20:18:09,34.9,0.0,14.2,26.4,11.7,1.6,39.3,16.3,33.2,142.6
20:18:11,36.7,0.0,13.4,23.4,11.7,1.5,36.3,15.7,35.1,137.1
20:18:12,38.5,0.0,13.7,24.8,11.8,1.6,39.5,15.7,35.0,142.1
20:18:14,40.1,0.0,13.5,25.5,12.0,1.6,37.9,15.6,36.4,142.4
20:18:16,41.9,0.0,13.0,29.3,10.7,1.5,48.4,15.2,36.3,154.4
20:18:18,43.6,0.0,12.9,32.9,9.7,1.6,44.0,14.9,36.0,151.9
20:18:19,45.3,0.0,13.2,36.1,10.5,1.6,65.9,14.9,36.4,178.6
20:18:21,47.0,0.0,13.0,34.6,8.8,1.5,49.2,14.6,36.6,158.4
20:18:23,48.7,0.0,13.4,35.0,9.1,1.5,50.3,14.6,36.6,160.5
20:18:24,50.4,0.0,12.3,35.0,9.1,1.6,47.1,14.6,36.6,156.3
20:18:26,52.1,0.0,13.1,36.8,9.5,1.6,50.3,14.6,37.9,163.8
20:18:28,53.9,0.0,12.6,35.0,9.5,1.5,52.6,14.3,38.7,164.2
20:18:30,55.6,0.0,12.4,35.0,9.5,1.5,52.6,14.3,38.7,164.2
20:18:31,57.3,0.0,11.5,31.8,9.5,1.5,66.4,14.1,42.8,177.6
20:18:33,59.1,0.0,11.9,32.0,8.2,1.6,50.2,14.4,42.5,160.9
20:18:35,60.8,0.0,11.3,26.2,3.2,1.3,30.2,13.4,49.9,135.6
20:18:37,62.7,0.0,10.2,19.8,1.7,1.2,29.0,11.9,57.3,131.1
20:18:39,64.6,0.0,11.4,15.4,7.9,1.2,79.4,14.0,61.8,191.1
20:18:40,66.5,0.0,11.6,29.1,5.1,1.4,51.7,14.3,65.9,179.1
20:18:42,68.2,0.0,11.2,15.0,5.3,1.3,48.6,14.6,62.8,158.8
20:18:44,69.9,0.0,10.7,14.8,5.3,1.3,47.4,14.6,62.8,156.9
20:18:46,71.6,0.0,10.7,14.8,5.3,1.3,47.6,14.6,62.8,157.0
20:18:47,73.3,0.0,10.7,14.9,5.4,1.3,47.4,14.7,62.6,157.1
20:18:49,75.0,0.0,10.8,14.8,5.3,1.3,47.3,14.7,62.6,156.8
20:18:51,76.7,0.0,10.4,12.0,5.4,1.3,44.1,14.7,62.6,150.5
